name,sales,zipcode,address,store,first_sale,last_sale
QUIK TRIP #530,85,50313,1424 E EUCLID AVE,5501,2017-11-10T00:00:00Z,2017-11-16T00:00:00Z
CASEY'S GENERAL STORE #37 / DAKOTA CITY,84,50529,"502, MAIN",4775,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
CROSSROADS FO SPENCER,84,NA,NA,5278,2016-09-14T00:00:00Z,2017-11-29T00:00:00Z
VICTOR'S MARKET,84,52347,1001 3RD  ST,5147,2021-10-11T00:00:00Z,2021-11-16T00:00:00Z
CASEY'S GENERAL STORE #1061 / PRINCETON,83,NA,NA,4911,2016-09-01T00:00:00Z,2016-11-17T00:00:00Z
SUPER QUICK MART / WINDSOR HEIGHTS,83,50317,1824 HUBBELL AVE,4169,2021-11-10T00:00:00Z,2021-11-10T00:00:00Z
CASEY'S GENERAL STORE #2544 / NEW LONDON,82,52645,710 S PINE ST,5585,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
JET STOP BIRMINGHAM / BIRMINGHAM,80,52535,121 SOUTH HWY 1,6310,2022-10-05T00:00:00Z,2023-03-15T00:00:00Z
CASEY'S GENERAL STORE #3610,78,50613,1225 FOUNTAINS WAY,5484,2017-11-02T00:00:00Z,2017-11-30T00:00:00Z
BEER THIRTY STORM LAKE / STORM LAKE,77,NA,NA,6229,2021-11-01T00:00:00Z,2021-11-15T00:00:00Z
CASEY'S GENERAL STORE #2237 / PRAIRIE CITY,77,50228,1002 W 2ND ST,4655,2021-10-13T00:00:00Z,2021-11-18T00:00:00Z
WAL-MART 1683 / SHENANDOAH,77,51601,705 S FREMONT,4266,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
KEOTA EAGLE FOODS,76,52248,217 E BROADWAY,4279,2021-10-06T00:00:00Z,2021-11-18T00:00:00Z
KUM & GO #510 / STUART,76,NA,NA,4654,2019-07-05T00:00:00Z,2019-07-19T00:00:00Z
AVOCA FOOD LAND,75,NA,NA,5322,2016-10-14T00:00:00Z,2016-10-14T00:00:00Z
INDEPENDENCE LIQUOR & FOOD,75,NA,NA,5487,2019-07-02T00:00:00Z,2019-07-16T00:00:00Z
CASEY'S GENERAL STORE # 3523/ ELDRIDGE,74,52748,26701 SCOTT PARK RD.,5355,2021-10-05T00:00:00Z,2021-11-19T00:00:00Z
CASEY'S GENERAL STORE #2357 / ALLISON,74,50602,"100, CHERRY ST",4571,2021-10-04T00:00:00Z,2021-11-22T00:00:00Z
